code,categoryCode,title,energyCode
car_kei,car,軽自動車,gasol
car_compact,car,小型車,gasol
car_van,car,バン,gasol
car_sedan,car,3ナンバー,gasol
car_hybrid,car,ハイブリッド車,gasol
car_ev,car,電気自動車,elect
car_scooter,car,バイク・スクータ,gasol
car_motorcycle,car,大型バイク,gasol
tv_general,tv,テレビ,elect
rf_fridge_freezer,refrigerator,冷凍冷蔵庫,elect
rf_freezer,refrigerator,冷凍庫（ストッカー）,elect
hw_gas,hotwater,ガス給湯器,nagas
hw_ecojoze,hotwater,エコジョーズ（ガス潜熱回収型）,nagas
hw_kerosene,hotwater,灯油給湯器,keros
hw_ecofeel,hotwater,エコフィール（灯油潜熱回収型）,keros
hw_electric,hotwater,電気温水器,elect
hw_ecocute,hotwater,エコキュート,elect
hw_ecowill,hotwater,エコウィル（コジェネ）,nagas
hw_enefarm,hotwater,エネファーム（燃料電池）,nagas
hw_enefarm_sofc,hotwater,エネファームSOFC,nagas
hw_firewood,hotwater,薪,
hw_solar_heater,hotwater,太陽熱温水器（自然循環式）,
hw_solar_system,hotwater,ソーラーシステム（強制循環式）,
ac_general,aircon,エアコン,elect
li_incandescent,lighting,白熱電球,elect
li_bulb_fluorescent,lighting,電球形蛍光灯,elect
li_fluorescent,lighting,蛍光灯,elect
li_slim_fluorescent,lighting,細管蛍光灯,elect
li_led,lighting,LED,elect
li_sensor,lighting,センサー式ライト,elect
dr_heatpump,dryer,電気（ヒートポンプ式）,elect
dr_electric,dryer,電気,elect
dr_gas,dryer,ガス,nagas
rc_general,ricecooker,炊飯ジャー,elect
pot_general,pot,電気ポット,elect
stove_gas,stove,ガスコンロ,nagas
stove_ih,stove,IHコンロ,elect
toilet_general,toilet,温水洗浄便座,elect
dishwasher_general,dishwasher,食器洗い乾燥機,elect
