code,shortcode,title,countgroup,sumclass
consTotal,TO,全体,,
consHWsum,HW,給湯・水道,,consTotal
consHWtub,,浴槽,,consHWsum
consHWshower,,シャワー,,consHWsum
consHWdishwash,,食洗,,consHWsum
consHWdresser,,洗面,,consHWsum
consHWtoilet,,トイレ,,consHWsum
consHTsum,HT,暖房,,consTotal
consCOsum,CO,冷房除湿,,consTotal
consAC,,個別冷暖房,RM,
consACheat,,個別暖房,RM,consHTsum
consACcool,,個別冷房,RM,consCOsum
consRFsum,RF,冷蔵庫,,consTotal
consRF,,冷蔵庫,RF,consRFsum
consCKsum,CK,調理,,consTotal
consCKcook,,調理,,consCKsum
consCKplug,,待機,,consCKsum
consCKpot,,ポット,,consCKsum
consCKrice,,炊飯ジャー,,consCKsum
consDRsum,DR,洗濯乾燥,,consTotal
consDRwash,,洗濯,,consDRsum
consDRdry,,乾燥,,consDRsum
consLIsum,LI,照明,,consTotal
consLI,,照明,LI,consLIsum
consTVsum,TV,テレビ,,consTotal
consTV,,テレビ,TV,consTVsum
consCRsum,CR,交通,,consTotal
consCR,,車,CR,consCRsum
consCRtrip,,交通,TR,consCRsum
consOTsum,OT,待機・その他,,consTotal
consOT,,待機・その他,OT,consOTsum
