id,title,cons,unit,text,inputType,disp01,disp02,disp03,disp04,disp05,disp06,disp07,disp08,disp09,disp10,disp11,disp12,disp13,disp14,disp15,disp16,val01,val02,val03,val04,val05,val06,val07,val08,val09,val10,val11,val12,val13,val14,val15,val16
i010,対策として重視する視点,consTotal,,どんな対策を優先的に表示しますか,sel010,選んで下さい,CO2削減優先,光熱費削減優先,取り組みやすさ考慮,取り組みやすさ優先,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i001,家族人数,consTotal,人,あなたを含めて、いっしょに住んでいる人数を選んで下さい。,sel001,選んで下さい,1人,2人,3人,4人,5人,6人,7人,8人,9人以上,,,,,,,-1,1,2,3,4,5,6,7,8,9,,,,,,
i002,集合戸建て,consTotal,,お住いは、戸建てですか、集合住宅ですか,sel002,選んで下さい,戸建て,集合,,,,,,,,,,,,,,-1,1,2,,,,,,,,,,,,,
i003,家の広さ,consTotal,m2,家の延べ床面積で、いちばん近い数値を選んで下さい。,sel003,選んで下さい,15m2,30m2,50m2,70m2,100m2,120m2,150m2,200m2以上,,,,,,,,-1,15,30,50,70,100,120,150,220,,,,,,,
i004,家の所有,consTotal,,持ち家ですか、賃貸ですか,sel004,選んで下さい,持ち家,賃貸,,,,,,,,,,,,,,-1,1,2,,,,,,,,,,,,,
i005,家の階数,consTotal,,何階建てですか、集合住宅の場合何階ですか,sel005,選んで下さい,平屋建て,2階建て,3階以上,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i006,天井が屋根面（最上階）か,consTotal,,天井が屋根面（最上階）ですか,sel006,選んで下さい,最上階（上は屋根）,最上階でない（上に部屋がある）,,,,,,,,,,,,,,-1,1,2,,,,,,,,,,,,,
i007,屋根の日当たり,consTotal,,屋根の日当たりはいいですか,sel007,選んで下さい,とてもよい,よい,ときどき陰る,よくない,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i008,居室数,consTotal,部屋,家にある部屋の数は,sel008,選んで下さい,1部屋,2部屋,3部屋,4部屋,5部屋,6部屋,7部屋,8部屋以上,,,,,,,,-1,1,2,3,4,5,6,7,8,,,,,,,
i009,築年数,consTotal,年,家を建ててから何年ですか,sel009,選んで下さい,5年未満,5-10年未満,10-20年未満,20年以上,わからない,,,,,,,,,,,-1,3,7,13,30,20,,,,,,,,,,
i021,都道府県,consTotal,,お住まいの都道府県を選んで下さい。,sel021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i022,詳細地域,consTotal,,都道府県内の気候が違う場合の地域,sel022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i023,公共交通の便利さ,consTotal,,お住いは公共交通の便はいい地域ですか,sel023,選んで下さい,便利,どちらかと言えば便利,どちらかといえば不便,不便,,,,,,,,,,,,-1,1,2,3,4,,,,,,,,,,,
i041,窓の断熱性能,consTotal,,窓の断熱性能,sel041,選んで下さい,樹脂枠三重ガラス,樹脂枠low-Eガラス,樹脂アルミ複合/樹脂枠二重ガラス,アルミ枠二重ガラス,アルミ枠単板ガラス,わからない,,,,,,,,,,-1,1,2,3,4,5,6,,,,,,,,,
i042,壁面の断熱材の厚さ,consTotal,,断熱材の厚さはどの程度ですか,sel042,選んで下さい,グラスウール200mm相当,グラスウール150mm相当,グラスウール100mm相当,グラスウール50mm相当,グラスウール30mm相当,入っていない,わからない,,,,,,,,,-1,200,150,100,50,30,10,-1,,,,,,,,
i043,窓の断熱リフォーム,consTotal,,窓の断熱リフォームをしましかたか,sel043,選んで下さい,全面的にした,一部した,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i044,壁天井断熱リフォーム,consTotal,,壁・天井・床などの断熱リフォームをしましたか,sel044,選んで下さい,全面的にした,一部した,していない,,,,,,,,,,,,,-1,1,2,3,,,,,,,,,,,,
i051,太陽光発電の設置,consEnergy,,太陽光発電装置を設置していますか,sel051,選んで下さい,していない,している,,,,,,,,,,,,,,-1,0,1,,,,,,,,,,,,,
i052,太陽光発電のサイズ,consEnergy,kW,設置している太陽光発電装置のサイズを選んで下さい。,sel052,選んで下さい,していない,している（～3kW）,している（4kW),している（5kW),している（6～10kW),している（10kW以上）,,,,,,,,,,-1,0,3,4,5,8,11,,,,,,,,,
i053,太陽光発電の設置年,consEnergy,,太陽光発電を設置した年はいつですか,sel053,選んで下さい,2014年度以前,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度,2024年度・25年9月まで,2025年10月以降,設置していない,,,-1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,9999,,
i054,灯油を使っていますか,consEnergy,,灯油を使っていますか,sel054,選んで下さい,はい,いいえ,,,,,,,,,,,,,,-1,1,2,,,,,,,,,,,,,
i061,電気代,consEnergy,円,年平均で、1ヶ月のおおよその電気代を選んでください。,sel061,選んで下さい,1000円,2000円,3000円,5000円,7000円,1万円,1万2000円,1万5000円,2万円,3万円,それ以上,,,,,-1,1000,2000,3000,5000,7000,10000,12000,15000,20000,30000,40000,,,,
i062,売電金額,consEnergy,円,太陽光発電で1ヶ月あたりどのくらい電気を売ることができますか。,sel062,選んで下さい,1000円,2000円,3000円,5000円,7000円,1万円,1万2000円,1万5000円,2万円,3万円,それ以上,,,,,-1,1000,2000,3000,5000,7000,10000,12000,15000,20000,30000,40000,,,,
i063,ガス代,consEnergy,円,年平均で、1ヶ月のおおよそのガス代を選んで下さい。,sel063,選んで下さい,オール電化（使わない）,1000円,2000円,3000円,5000円,7000円,1万円,1万2000円,1万5000円,2万円,3万円,それ以上,,,,-1,0,1000,2000,3000,5000,7000,10000,12000,15000,20000,30000,40000,,,
i064,灯油購入量,consEnergy,円,年平均で、1ヶ月あたりのおおよその灯油使用量を選んでください。,sel064,選んで下さい,使わない,2ヶ月で1缶（9L),月1缶（18L),月2缶（36L),月3缶（54L),週1缶（72L),5日で1缶（108L),週2缶（144L),週3缶（216L),それ以上,,,,,,-1,0,900,1800,3600,5400,7200,10800,14400,21600,30000,,,,,
i065,練炭購入量,consEnergy,円,1ヶ月あたりのおおよその練炭購入量を選んでください。,sel065,選んで下さい,使わない,1000円,2000円,3000円,5000円,7000円,1万円,1万2000円,1万5000円,2万円,3万円,それ以上,,,,-1,0,1000,2000,3000,5000,7000,10000,12000,15000,20000,30000,40000,,,
i066,地域熱供給,consEnergy,円,暖房用の地域熱供給はありますか,sel066,選んで下さい,使わない,使っている,,,,,,,,,,,,,,-1,1,2,,,,,,,,,,,,,
i072,ホームタンクの容量,consEnergy,,ホームタンクが設置されている場合はその容量を選んでください,sel072,選んで下さい,100L,200L,300L,400L,,,,,,,,,,,,-1,100,200,300,400,,,,,,,,,,,
i073,灯油ホームタンク回数,consEnergy,,灯油のホームタンクに年間に入れる回数を選んでください,sel073,選んで下さい,年3回以下,年4-6回,年7-10回,年11-15回,年16-20回,年21回以上,,,,,,,,,,-1,3,5,8,12,18,24,,,,,,,,,
